EGTZ13,3581237.02,506383.33,5.29
EGTZ14,3586459.83,510748.36,4.77
EGTZ15,3581347.88,512045.24,4.3
EGTZ16,3596380.10,520843.50,4.76
EGTZ17,3591817.39,521422.70,4.82
EGTZ18,3585019.42,521993.47,4.21
EGTZ19,3580782.21,521919.42,4.79
EGTZ20,3591821.60,487600.12,5.5
EGTZ21,3589103.35,500005.55,4
EGTZ22,3596106.79,514443.53,5
EGTZ23,3580800.28,516504.72,4
QZK1,3607179.72,500290.99,3
QZK2,3606995.25,516311.94,2
QZK3,3586901.48,490505.07,5
QZK4,3589925.57,498684.83,4
QZK5,3584511.85,521654.69,5
TZK3,3586151.49,507606.68,4
TZK4,3577526.56,500952.07,4.5
TZK5,3590478.37,521872.45,5
TZK6,3593064.21,513413.02,4
TZK7,3600457.86,516260.71,4
TZK9,3607487.63,509393.33,3.5
TZK10,3605397.10,494105.14,4
TZK14,3614028.79,494919.48,2
TZK17,3609649.75,499918.03,2
SJ01,3597787.81,498233.32,6.32
SJ03,3594760.22,492985.48,4.63
SJ04,3585828.24,492483.80,4.55
SJ05,3594641.92,491917.26,4.88
SJ06,3594042.63,491934.17,4.74
SJ07,3586501.38,492464.35,4.87
SJ08,3591059.11,492505.38,4.94
SJ09,3592666.76,492948.48,4.35
SJ10,3586545.48,492812.47,5.26
SJ11,3586090.86,492755.70,4.45
SJ12,3593565.82,491886.78,4.68
SJ14,3595628.00,492490.00,6.4
SJ17,3591613.65,492421.17,5.71
SJ19,3585392.38,492538.79,5.55
SJ21,3590914.96,492486.47,5.62
SJ23,3582931.41,491454.69,4.43
SJ24,3581745.38,490851.30,5.55
SJ25,3578406.20,490106.71,5.41
SJ26,3575403.26,489856.64,2.81
SJ28,3575735.83,489960.57,2.72
SJ33,3573749.61,491305.61,2.93
SJ34,3574281.83,491381.42,4.58
SJ38,3596902.60,493487.15,5.75
SJ39,3596824.08,495047.19,4.41
SJ40,3597458.18,491974.50,5.65
SJ41,3597478.85,494154.75,4.81
SJ42,3596801.46,496052.78,5.25
SJ43,3597078.79,495808.54,4.81
SJ44,3597500.24,495714.74,2.9
SJ45,3596646.42,492857.29,5.07
SJ47,3600904.08,497745.37,
SJ48,3597621.50,498026.55,5.76
SJ50,3593086.27,491656.33,3.3
SJ53,3581268.74,490634.37,5.1
SJ54,3580781.07,490351.53,5.91
