TZZK19,2-5,25.1
TZZK19,2-6,36
TZZK19,2-7,50
TZZK20,1,1.2
TZZK20,2-4,7.9
TZZK20,2-5,29
TZZK20,2-6,42.7
TZZK20,2-7,50
TZZK21,1,0.9
TZZK21,2-2,4
TZZK21,2-3,13
TZZK21,2-5,22.7
TZZK21,2-6b,39
TZZK21,2-7,50
TZZK22,1,0.7
TZZK22,2-2,7
TZZK22,2-3,10.1
TZZK22,2-5,23
TZZK22,2-6,42.6
TZZK22,2-7,56.9
TZZK22,3-1,69.5
TZZK22,3-2,85.6
TZZK22,8-1,100
TZZK23,1,1.9
TZZK23,2-2,5
TZZK23,2-3,9.6
TZZK23,2-5,26.6
TZZK23,2-6b,43.4
TZZK23,2-7,50
TZZK24,1,1.7
TZZK24,2-2,5
TZZK24,2-3,11
TZZK24,2-5,20.9
TZZK24,2-6b,30.8
TZZK24,2-7,50
TZZK25,1,1.9
TZZK25,2-2,3.5
TZZK25,2-3,7.2
TZZK25,2-5,25
TZZK25,2-6,38.5
TZZK25,2-7,50
TZZK26,1,1
TZZK26,2-2,4.9
TZZK26,2-3,10
TZZK26,2-5,23
TZZK26,2-6,37.4
TZZK26,2-6b,41.8
TZZK26,2-7,50
TZZK27,1,1.2
TZZK27,2-2,4.8
TZZK27,2-3,8.9
TZZK27,2-5,27.8
TZZK27,2-6,43.9
TZZK27,2-7,50
TZZK28,1,1.7
TZZK28,2-2,4
TZZK28,2-3,12
TZZK28,2-5,27.7
TZZK28,2-6,35
TZZK28,2-7,50
TZZK29,1,1.4
TZZK29,2-2,5
TZZK29,2-3,8.3
TZZK29,2-5,23
TZZK29,2-6,40
TZZK29,2-7,50
TZZK30,1,0.9
TZZK30,2-2,5.3
TZZK30,2-3,13
TZZK30,2-5,25
TZZK30,2-6,41
TZZK30,2-7,50
TZZK31,1,1
TZZK31,2-2,4
TZZK31,2-3,10.2
TZZK31,4-2,17.9
TZZK31,4-3,20.9
TZZK31,5-1,27
TZZK31,6,34
TZZK31,7-2,37
TZZK31,8-1,50
TZZK32,1,0.3
TZZK32,2-2,2
TZZK32,2-3,15.1
TZZK32,5-2,17.9
TZZK32,5-2,29.5
TZZK32,6,37.1
TZZK32,7-1,40.8
TZZK32,9-1,43.5
TZZK32,9-2,50
TZZK33,1,0.4
TZZK33,2-2,5.1
TZZK33,2-3,10.6
TZZK33,4-2,15
TZZK33,4-3,16.9
TZZK33,5-1,27.1
TZZK33,6,32.1
TZZK33,7-1,38.9
TZZK33,8-1,50
TZZK34,1,2.1
TZZK34,2-1,5.1
TZZK34,2-3,15.7
TZZK34,4-2,20.6
TZZK34,5-1,26.1
TZZK34,6,36.5
TZZK34,7-2,40.1
TZZK34,9-1,46.8
TZZK34,9-2,50.5
TZZK35,1,0.3
TZZK35,2-1,2.9
TZZK35,2-4,4.5
TZZK35,4-3,12
TZZK35,4-3,13.5
TZZK35,5-2,20.6
TZZK35,6,31
TZZK35,7-2,35.2
TZZK35,9-1,42
TZZK35,9-2,47.7
TZZK35,9-3,50
TZZK36,1,0.5
TZZK36,2-1,2.5
TZZK36,2-2,4.6
TZZK36,4-2,8.8
TZZK36,4-3,15.1
TZZK36,5-1,20.4
TZZK36,6,31.2
TZZK36,7-2,36.1
TZZK36,9-1,38.3
TZZK36,9-2,45.4
TZZK36,9-3,50
TZZK37,1,0.6
TZZK37,2-1,2.2
TZZK37,2-2,4.9
TZZK37,4-1,6
TZZK37,4-2,14.2
TZZK37,5-2,21
TZZK37,6,32
TZZK37,7-2,36.1
TZZK37,9-1,38.8
TZZK37,9-2,42.3
TZZK37,9-3,47
TZZK37,10,50
TZZK38,1,0.5
TZZK38,2-2,4
TZZK38,4-2,13
TZZK38,5-2,18.5
TZZK38,6,28.5
TZZK38,7-1,33.4
TZZK38,9-1,38.8
TZZK38,9-2,44.5
TZZK38,9-3,50
TZZK39,1,4.1
TZZK39,2-1,6
TZZK39,2-4,22.8
