DZ05,2624275.6,515622.9,111.86
DZ06,2623954.7,515549.9,108.5
KK01,2624312.1,515221.5,92.53
KK02,2624405.5,515397.5,103
KK03,2624472.8,515595.2,87
KK04,2624597.3,515747.7,99.12
KK05,2624146.7,515328.1,107.81
KK06,2624232.4,515494.5,106.8
KK07,2624318.7,515669.9,88.3
KK08,2624427.4,515845.3,89.54
KK09,2624239,515667.2,118.82
KK10,2624306.6,515909.1,115.89
KK11,2623963.9,515414.6,111.58
KK12,2624060,515590.1,114.72
KK13,2624155.5,515766,102.39
KK14,2624243.8,515945.4,84.47
KK15,2623789.2,515511.5,105.92
KK16,2623901.4,515676.5,85.15
KK17,2623935.4,515778.7,113.64
KK18,2623964.2,515846.8,98.95
KK19,2624074.3,516022.9,85
SK001,2624230.1,515320.6,89.44
SK002,2624240.4,515337.6,93.31
SK003,2624235.9,515350.8,101.43
SK004,2624264.5,515398.5,101.95
SK005,2624302.1,515469.8,112.55
SK006,2624322,515503.6,116.13
SK007,2624336.7,515533.8,114.95
SK008,2624354.6,515568.8,110.89
SK009,2624372.9,515603.5,109.64
SK010,2624374.2,515646.2,109.38
SK011,2624415.4,515689.1,107.96
SK012,2624435.7,515711.6,94.93
SK013,2624199.8,515339.2,87.85
SK014,2624208.2,515354.8,96.53
SK015,2624223.3,515359.2,102.87
SK016,2624236.9,515372.2,106.7
SK017,2624249,515392.1,94.63
SK018,2624266.3,515423.4,104.84
SK019,2624279.3,515439,102.27
SK020,2624289.6,515473.7,104.89
SK021,2624185.5,515350.5,86.85
SK022,2624199.5,515371.4,98.05
SK023,2624206.3,515395.1,104.61
SK024,2624226.5,515403.5,101.58
SK025,2624238,515444.7,100.53
SK026,2624257.1,515461.2,97.36
SK027,2624261.1,515480.4,92.64
SK028,2624273.9,515491.3,91.92
SK029,2624290.9,515505,96.87
SK030,2624317.1,515548.1,110.6
SK031,2624345.4,515577.1,107.09
SK032,2624398.2,515672.8,109.28
SK033,2624403,515695.7,104.63
SK034,2624418.6,515720.8,104.62
SK035,2624181.9,515377.7,90.75
SK036,2624256.4,515496.3,62
SK037,2624277.9,515519.3,92.27
SK038,2624290.3,515537.6,106.48
SK039,2624309.3,515561,110.58
SK040,2624311.3,515583,97.57
SK041,2624323.3,515600.5,91.81
SK042,2624330.6,515622.7,90.66
SK043,2624353,515661.5,106.05
SK044,2624366.5,515685.9,104.9
SK045,2624378.5,515708.6,105.34
SK046,2624396.7,515731.1,92.96
SK047,2624158.1,515369.1,93.44
SK048,2624163.3,515386.3,86.84
SK050,2624184,515416.2,102.78
SK051,2624218.7,515478.1,118.35
SK052,2624247.8,515509.5,93.85
SK053,2624257.5,515527.5,89.64
SK054,2624266.8,515547.3,91.29
SK055,2624277.1,515566,104.6
SK056,2624284.9,515582.1,112.2
SK057,2624289.0,515607.4,105.93
SK058,2624298.1,515630.3,103.71
SK059,2624324.2,515661.8,92.85
SK060,2624335.4,515682.8,89.65
SK061,2624333.6,515697.4,96.8
SK062,2624344.8,515718.7,106.69
SK063,2624351.9,515748.4,103.83
SK064,2624238.5,515537.6,95.58
SK065,2624252.5,515555.1,95.58
SK066,2624261.9,515574.9,104.95
SK067,2624268.7,515594.9,115.46
SK068,2624137.1,515383.5,100.06
SK069,2624144.5,515397.7,94.87
SK070,2624155.9,515418.4,88.93
SK071,2624168,515439.7,96.83
SK072,2624178.7,515460,109.31
SK073,2624186.2,515482.8,100.52
SK074,2624241.7,515564.4,97.52
SK075,2624250.2,515580.7,105.34
SK076,2624280.4,515659.3,100.29
SK077,2624294.3,515677.8,98.77
